Otu00021	0	0	1	2	0	1	2	2	2	2	1	2	5	3	18	10	8	15	29	16	24	9	21	60	22	44	51	8	6	5	4	28	17	10	6	10	2	2	10	5	7	4	5	27	32	49	22	16	80	31	59	33	40	64	16	45	106
Otu00022	1	3	6	3	0	2	3	6	6	5	11	25	15	9	139	36	5	7	14	5	1	0	3	2	5	4	5	70	62	43	47	105	25	2	1	1	2	7	22	16	25	7	15	82	14	13	13	3	2	0	4	2	4	4	1	6	5
Otu00023	1	2	0	7	4	1	5	3	1	0	2	0	0	0	3	1	0	1	4	2	1	0	2	8	6	5	9	98	86	80	85	204	96	8	1	3	1	8	9	7	7	2	3	13	5	2	2	1	1	1	1	4	0	2	1	10	11
Otu00024	6	10	3	7	7	7	9	4	3	3	2	6	1	7	20	31	12	20	37	7	7	1	3	10	4	13	8	29	50	22	39	113	46	14	6	9	4	2	8	6	4	4	6	4	3	4	2	6	4	2	4	4	4	4	2	11	16
Otu00025	1	9	5	11	7	9	9	7	1	4	3	9	8	2	30	7	14	11	24	14	6	1	11	22	12	21	13	27	25	19	17	77	71	28	19	11	7	5	12	8	6	2	7	15	7	11	12	5	8	6	10	7	12	12	5	31	16
Otu00026	0	2	35	296	39	38	91	17	8	4	7	11	3	2	13	2	0	1	2	0	1	0	0	0	0	1	2	2	6	23	53	157	212	59	65	20	3	5	10	3	7	4	1	4	1	0	0	0	0	0	0	0	0	0	1	3	2
Otu00027	2	3	0	11	9	11	19	10	13	3	3	9	7	7	24	4	9	7	13	4	1	5	1	10	3	6	9	43	35	16	15	42	63	22	14	14	8	12	26	14	8	5	5	14	5	15	6	5	2	2	4	4	6	1	1	19	12
Otu00028	3	5	3	6	3	2	1	0	3	2	1	2	4	0	3	2	1	2	14	3	4	0	4	18	11	15	14	16	13	20	20	53	16	7	3	2	3	0	1	0	1	3	0	7	6	3	8	6	6	5	10	7	10	15	6	44	51
Otu00029	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	3	0	1	0	1	57	77	60	41	128	69	10	3	13	1	2	4	2	3	2	1	6	2	0	0	1	0	0	0	0	0	1	0	1	0
Otu00030	0	3	4	18	2	18	20	10	6	2	6	15	10	2	15	3	0	4	10	3	3	0	1	1	1	4	1	14	7	11	15	34	22	9	17	9	7	4	9	8	7	11	13	23	15	6	5	3	21	5	15	4	2	3	3	16	15
Otu00031	1	11	29	66	13	43	42	20	15	7	10	4	13	4	22	3	4	7	20	8	10	0	4	6	1	5	8	1	2	2	2	7	6	2	2	2	3	2	3	2	2	2	3	4	3	2	0	0	0	1	1	1	1	3	0	3	6
Otu00032	2	12	9	9	5	3	12	3	2	1	5	0	0	1	2	6	1	0	3	0	2	0	0	0	0	0	0	32	44	29	30	68	46	15	2	3	4	4	5	8	5	1	4	5	0	0	1	1	0	0	0	2	1	0	0	1	0
Otu00033	2	2	3	10	1	4	15	10	4	1	2	6	3	6	23	18	8	10	25	13	2	6	10	13	5	15	10	6	8	8	4	19	2	2	2	12	4	10	5	4	3	5	2	9	8	8	4	3	5	2	7	2	2	4	4	22	24
Otu00034	0	0	0	5	0	2	1	1	0	0	0	1	2	3	3	2	1	4	3	5	3	0	1	11	3	5	4	24	20	23	14	27	23	8	3	4	2	4	2	1	0	4	1	5	2	0	1	1	3	1	2	2	4	4	8	34	16
Otu00035	1	0	2	3	2	3	5	2	0	2	5	3	4	0	11	9	3	11	20	5	3	2	7	11	8	21	16	6	6	5	4	6	2	1	1	0	0	2	1	3	4	1	0	2	4	8	7	3	4	3	6	10	9	26	4	51	51
Otu00036	0	3	0	2	1	1	2	1	0	0	3	0	1	0	4	0	2	3	2	1	1	0	3	2	0	2	2	25	49	21	22	51	23	2	2	2	2	3	6	1	11	2	5	13	13	11	7	7	5	2	8	0	7	11	5	25	21
Otu00037	3	4	9	23	6	6	13	6	7	5	2	9	3	4	23	18	13	11	8	5	1	0	2	2	1	5	3	25	16	13	13	56	40	10	2	6	3	14	11	5	11	2	4	11	4	3	7	1	2	0	1	1	0	1	0	2	2
Otu00038	1	3	2	3	0	1	3	2	0	0	1	0	0	1	5	0	1	2	11	5	0	0	5	9	2	6	8	14	13	10	8	11	7	1	0	0	0	1	2	2	1	2	1	3	3	5	19	6	9	3	15	8	11	13	4	46	57
Otu00039	1	0	0	1	0	1	3	2	1	1	0	1	1	0	0	0	1	3	4	2	0	1	1	0	2	2	1	10	18	25	17	115	120	24	9	22	11	30	21	19	24	6	4	10	3	5	10	1	5	2	3	2	0	5	3	10	11
Otu00040	1	2	0	3	0	0	3	1	2	2	1	2	0	2	8	5	5	6	13	4	2	1	10	16	7	8	7	13	22	8	10	11	7	1	3	3	3	1	3	1	2	2	2	1	2	4	5	2	1	0	5	5	2	6	7	14	11
Otu00041	2	3	2	2	3	0	3	3	0	0	1	2	0	3	3	2	4	0	5	1	0	0	0	2	1	3	6	23	38	32	24	114	39	9	6	2	3	6	4	3	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
Otu00042	0	0	2	4	0	6	21	7	5	2	9	19	18	5	30	14	11	8	34	9	4	1	5	12	7	8	11	3	9	10	4	16	8	2	0	2	1	3	3	1	2	1	6	9	5	5	4	5	2	4	8	4	6	5	0	15	17
Otu00043	0	2	0	0	0	3	1	1	0	3	0	3	0	0	43	33	19	32	71	17	5	8	7	13	11	17	17	0	2	4	2	4	2	1	0	4	2	0	1	2	1	4	4	11	5	6	2	3	6	4	11	20	8	23	5	16	31
Otu00044	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	45	42	24	50	50	31	14	17	9	4	7	9	3	5	4	2	2	0	2	0	0	0	1	1	0	0	0	2	2
Otu00045	2	10	4	8	1	10	19	16	8	10	4	6	9	3	16	6	2	0	0	0	3	0	1	3	2	0	0	6	18	19	11	44	17	7	5	8	2	6	7	10	7	1	4	3	6	0	1	1	1	1	1	3	0	0	0	1	2
